DateKey,TimeKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity
20220805,0,6.9,9.8,8.1,89.0
20220805,3000,6.1,9.2,7.3,88.0
20220805,10000,7.5,10.4,6.7,78.0
20220805,13000,5.7,8.6,6.4,86.0
20220805,20000,4.6,7.9,6.5,91.0
20220805,23000,4.4,7.5,7.1,97.0
20220805,30000,3.9,7.5,6.9,96.0
20220805,33000,4.3,7.8,7.1,95.0
20220805,40000,4.2,8.2,6.7,90.0
20220805,43000,4.9,8.6,6.4,86.0
20220805,50000,3.8,7.2,5.8,91.0
20220805,53000,4.2,7.5,6.4,93.0
20220805,60000,3.5,7.2,6.1,93.0
20220805,63000,3.0,6.4,5.8,96.0
20220805,70000,3.2,6.5,6.4,99.0
20220805,73000,2.7,6.8,6.2,96.0
20220805,80000,4.4,7.7,6.5,92.0
20220805,83000,5.2,8.4,6.7,89.0
20220805,90000,6.4,9.8,7.6,86.0
20220805,93000,6.6,10.3,8.1,86.0
20220805,100000,8.0,10.9,8.1,83.0
20220805,103000,9.5,13.0,8.9,76.0
20220805,110000,8.5,12.5,8.4,76.0
20220805,113000,8.3,11.8,8.8,82.0
20220805,120000,8.0,11.7,9.4,86.0
20220805,123000,8.7,11.5,11.5,100.0
20220805,130000,9.8,12.1,10.5,90.0
20220805,133000,9.3,12.3,9.1,81.0
20220805,140000,11.0,11.8,10.9,94.0
20220805,143000,11.9,12.6,11.3,92.0
20220805,150000,10.8,12.3,10.4,88.0
20220805,153000,10.3,12.6,10.3,86.0
20220805,160000,11.1,12.7,10.2,85.0
20220805,163000,8.1,11.5,10.4,93.0
20220805,170000,8.8,11.2,10.0,92.0
20220805,173000,9.2,10.3,9.8,97.0
20220805,180000,10.1,10.0,10.0,100.0
20220805,183000,9.1,10.3,10.3,100.0
20220805,190000,8.6,9.9,9.9,100.0
20220805,193000,8.9,10.0,10.0,100.0
20220805,200000,7.0,10.5,10.3,99.0
20220805,203000,7.6,10.0,10.0,100.0
20220805,203600,7.8,9.9,9.9,100.0
20220805,210000,8.7,9.8,9.8,100.0
20220805,212800,8.1,9.5,9.5,100.0
20220805,213000,7.7,9.5,9.5,100.0
20220805,220000,7.3,9.5,9.5,100.0
20220805,221400,7.3,9.5,9.5,100.0
20220805,223000,6.7,9.3,9.3,100.0
20220805,223400,6.7,9.3,9.3,100.0
20220805,224000,6.7,9.3,9.3,100.0
20220805,230000,6.2,9.2,9.2,100.0
20220805,233000,6.1,9.1,9.1,100.0
20220806,0,5.8,8.9,8.9,100.0
20220806,3000,5.6,8.7,8.7,100.0
20220806,4200,5.7,8.5,8.5,100.0
20220806,10000,5.7,8.5,8.5,100.0
20220806,10500,5.7,8.5,8.5,100.0
20220806,13000,5.8,8.6,8.6,100.0
20220806,20000,5.1,8.6,8.6,100.0
20220806,23000,5.4,8.3,8.3,100.0
20220806,30000,5.8,8.3,8.3,100.0
20220806,33000,6.5,8.2,8.2,100.0
20220806,40000,7.8,8.2,8.2,100.0
20220806,43000,6.6,8.3,8.3,100.0
20220806,50000,7.0,8.2,8.2,100.0
20220806,53000,6.8,8.3,8.3,100.0
20220806,54400,6.5,8.2,8.2,100.0
20220806,55900,6.5,8.2,8.2,100.0
20220806,60000,6.5,8.2,8.2,100.0
20211020,120000,18.2,21.2,9.1,46.0
20211020,123000,19.0,21.2,9.4,47.0
20211020,130000,21.5,22.5,10.9,47.0
20211020,133000,20.7,22.0,9.2,44.0
20211020,140000,21.0,22.8,9.6,43.0
20211020,143000,21.7,23.0,11.1,47.0
20211020,150000,22.0,23.5,11.9,48.0
20211020,153000,20.8,23.3,9.7,42.0
20211020,160000,21.7,23.4,9.8,42.0
20211020,163000,21.6,23.6,10.3,43.0
20211020,170000,20.9,23.2,10.6,45.0
20211020,173000,20.3,23.0,9.0,41.0
20211020,180000,20.5,22.5,10.3,46.0
20211020,183000,19.2,21.7,9.6,46.0
20211020,190000,18.7,20.3,10.1,52.0
20211020,193000,16.7,18.1,9.5,57.0
20211020,200000,14.0,14.9,10.5,75.0
20211020,203000,13.1,13.0,10.0,82.0
20211020,210000,13.4,14.3,11.5,83.0
20211020,213000,11.7,13.0,10.0,82.0
20211020,220000,11.3,11.7,9.6,87.0
20211020,223000,10.9,11.0,9.6,91.0
20211020,230000,10.8,10.8,9.9,94.0
20211020,233000,10.6,10.6,9.8,95.0
20211021,0,10.9,10.8,10.2,96.0
20211021,3000,10.5,10.5,9.9,96.0
