DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20230919,16.933333333333334,17.989583333333332,12.13125,73.125,19,3,0,0,3,4,38,9,3,2023
20230920,10.858333333333334,13.916666666666666,9.643749999999999,76.0,20,4,0,0,3,4,38,9,3,2023
20230921,7.322916666666667,10.94375,6.095833333333334,75.52083333333333,21,5,0,0,3,4,38,9,3,2023
20230922,8.247916666666667,10.920833333333334,5.8062499999999995,73.77083333333333,22,6,0,0,4,4,38,9,3,2023
20230923,9.491666666666667,11.260416666666666,7.1312500000000005,79.75,23,7,1,0,4,4,38,9,3,2023
20230924,11.725,13.847916666666668,7.645833333333333,71.6875,24,1,1,0,4,5,39,9,3,2023
20230925,12.685416666666667,13.672916666666666,11.1625,86.75,25,2,0,0,4,5,39,9,3,2023
20230926,14.74375,16.047916666666666,11.820833333333333,79.4375,26,3,0,0,4,5,39,9,3,2023
20230927,10.34375,13.947916666666666,9.4125,76.85416666666667,27,4,0,0,4,5,39,9,3,2023
20230928,11.695833333333333,14.362499999999999,7.491666666666667,69.20833333333333,28,5,0,0,4,5,39,9,3,2023
20230929,12.416666666666666,14.25,6.245833333333334,67.54166666666667,29,6,0,0,5,5,39,9,3,2023
20230930,14.064583333333333,17.179166666666667,5.472916666666666,54.333333333333336,30,7,1,0,5,5,39,9,3,2023
20231001,13.86875,17.989583333333332,5.989583333333333,47.583333333333336,1,1,1,0,1,1,40,10,4,2023
20231002,13.55625,15.854166666666666,9.014583333333333,68.08333333333333,2,2,0,0,1,1,40,10,4,2023
20231003,17.370833333333334,18.296875,14.040625,81.29166666666667,3,3,0,0,1,1,40,10,4,2023
20231004,7.3999999999999995,11.168750000000001,10.379166666666666,95.1875,4,4,0,0,1,1,40,10,4,2023
20231005,6.98125,11.299999999999999,7.579166666666667,79.58333333333333,5,5,0,0,1,1,40,10,4,2023
20231006,7.341666666666666,11.945833333333333,7.035416666666666,74.6875,6,6,0,0,1,1,40,10,4,2023
20231007,7.66875,11.241666666666667,5.345833333333334,69.27083333333333,7,7,1,0,1,1,40,10,4,2023
20231008,10.741666666666667,12.472916666666668,8.035416666666666,77.60416666666667,8,1,1,0,2,2,41,10,4,2023
20231009,11.3375,13.625,8.85,76.66666666666667,9,2,0,0,2,2,41,10,4,2023
20231010,10.137500000000001,12.758333333333333,8.297916666666667,76.70833333333333,10,3,0,0,2,2,41,10,4,2023
20231011,13.409374999999999,15.026041666666666,9.688541666666667,74.45833333333333,11,4,0,0,2,2,41,10,4,2023
20231012,9.991666666666667,13.185416666666667,9.25,77.875,12,5,0,0,2,2,41,10,4,2023
20231013,9.339583333333334,12.283333333333333,9.666666666666666,84.875,13,6,0,0,2,2,41,10,4,2023
20231014,11.247916666666667,13.789583333333333,10.547916666666667,82.77083333333333,14,7,1,0,2,2,41,10,4,2023
20231015,10.125,12.002083333333333,9.293750000000001,85.3125,15,1,1,0,3,3,42,10,4,2023
20231016,7.6187499999999995,12.566666666666668,7.522916666666667,74.35416666666667,16,2,0,0,3,3,42,10,4,2023
20231017,9.954166666666667,12.470833333333333,7.189583333333334,73.4375,17,3,0,0,3,3,42,10,4,2023
20231018,12.414583333333333,13.972916666666668,9.239583333333334,77.125,18,4,0,0,3,3,42,10,4,2023
20231019,15.53125,16.379166666666666,11.227083333333333,76.0625,19,5,0,0,3,3,42,10,4,2023
20231020,18.037499999999998,18.914583333333333,11.729166666666666,69.02083333333333,20,6,0,0,3,3,42,10,4,2023
20231021,14.810416666666667,17.45,10.424999999999999,64.70833333333333,21,7,1,0,3,3,42,10,4,2023
20231022,9.475,13.277083333333332,7.954166666666667,71.0625,22,1,1,0,4,4,43,10,4,2023
20231023,10.90625,13.385416666666666,7.595833333333334,69.41666666666667,23,2,0,0,4,4,43,10,4,2023
20231024,12.603125,16.58125,7.448958333333334,61.90625,24,3,0,0,4,4,43,10,4,2023
20231025,5.580208333333334,10.979166666666666,2.9947916666666665,59.854166666666664,25,4,0,0,4,4,43,10,4,2023
20231026,4.841666666666667,10.508333333333333,4.6875,70.72916666666667,26,5,0,0,4,4,43,10,4,2023
20231027,9.5625,12.668750000000001,4.154166666666667,60.166666666666664,27,6,0,0,4,4,43,10,4,2023
20231028,10.856250000000001,14.56875,6.1125,61.1875,28,7,1,0,4,4,43,10,4,2023
20231029,14.754166666666668,18.972916666666666,3.670833333333333,44.395833333333336,29,1,1,0,5,5,44,10,4,2023
20231030,13.672916666666666,17.072916666666668,7.7749999999999995,57.8125,30,2,0,0,5,5,44,10,4,2023
20231031,9.016666666666667,13.799999999999999,3.4187499999999997,52.041666666666664,31,3,0,0,5,5,44,10,4,2023
20231101,9.095833333333333,13.697916666666666,6.454166666666667,64.02083333333333,1,4,0,0,1,1,44,11,4,2023
20231102,11.341666666666667,15.527083333333332,6.122916666666666,57.0,2,5,0,0,1,1,44,11,4,2023
20231103,10.791666666666666,16.104166666666668,5.90625,54.791666666666664,3,6,0,0,1,1,44,11,4,2023
20231104,12.929166666666667,16.802083333333332,8.09375,59.520833333333336,4,7,1,0,1,1,44,11,4,2023
20231105,16.91875,18.78125,9.700000000000001,59.645833333333336,5,1,1,0,1,2,45,11,4,2023
20231106,18.364583333333332,21.075,9.918750000000001,52.104166666666664,6,2,0,0,1,2,45,11,4,2023
20231107,18.516666666666666,20.841666666666665,11.945833333333333,58.854166666666664,7,3,0,0,1,2,45,11,4,2023
20231108,20.341666666666665,21.493750000000002,12.770833333333334,63.625,8,4,0,0,2,2,45,11,4,2023
20231109,20.618750000000002,21.375,15.422916666666666,72.52083333333333,9,5,0,0,2,2,45,11,4,2023
20231110,22.789583333333336,24.114583333333332,12.254166666666668,55.0625,10,6,0,0,2,2,45,11,4,2023
20231111,20.875,23.775000000000002,12.183333333333332,49.833333333333336,11,7,1,0,2,2,45,11,4,2023
20231112,11.852083333333333,16.579166666666666,6.54375,55.791666666666664,12,1,1,0,2,3,46,11,4,2023
20231113,13.385416666666666,17.35625,5.647916666666667,52.125,13,2,0,0,2,3,46,11,4,2023
20231114,11.408333333333333,14.135416666666666,9.866666666666667,76.41666666666667,14,3,0,0,2,3,46,11,4,2023
20231115,14.177083333333334,17.466666666666665,6.964583333333334,57.5,15,4,0,0,3,3,46,11,4,2023
20231116,11.512500000000001,16.529166666666665,7.070833333333333,55.395833333333336,16,5,0,0,3,3,46,11,4,2023
20231117,10.945833333333333,15.797916666666666,5.841666666666666,54.041666666666664,17,6,0,0,3,3,46,11,4,2023
20231118,16.4875,19.354166666666668,6.3625,49.520833333333336,18,7,1,0,3,3,46,11,4,2023
20231119,19.204166666666666,21.162499999999998,7.047916666666667,51.6875,19,1,1,0,3,4,47,11,4,2023
20231120,20.16875,22.270833333333332,10.254166666666666,51.104166666666664,20,2,0,0,3,4,47,11,4,2023
20231121,20.320833333333333,20.8875,14.512500000000001,71.64583333333333,21,3,0,0,3,4,47,11,4,2023
20231122,17.297916666666666,20.260416666666668,11.68125,64.45833333333333,22,4,0,0,4,4,47,11,4,2023
20231123,21.3875,22.681250000000002,12.862499999999999,58.104166666666664,23,5,0,0,4,4,47,11,4,2023
20231124,19.472916666666666,20.488541666666666,15.690624999999999,76.64583333333333,24,6,0,0,4,4,47,11,4,2023
20231125,20.011458333333334,20.830208333333335,16.011458333333334,77.0,25,7,1,0,4,4,47,11,4,2023
20231126,17.885416666666668,19.314583333333335,13.839583333333332,73.64583333333333,26,1,1,0,4,5,48,11,4,2023
20231127,17.591666666666665,19.847916666666666,12.745833333333332,67.45833333333333,27,2,0,0,4,5,48,11,4,2023
20231128,17.895833333333332,18.900000000000002,14.229166666666666,75.9375,28,3,0,0,4,5,48,11,4,2023
20231129,17.760416666666668,18.306250000000002,16.745833333333334,91.64583333333333,29,4,0,0,5,5,48,11,4,2023
20231130,16.575,20.372916666666665,12.020833333333334,61.041666666666664,30,5,0,0,5,5,48,11,4,2023
20231201,18.789583333333333,20.270833333333332,13.637500000000001,67.83333333333333,1,6,0,0,1,1,48,12,4,2023
20231202,17.714583333333334,19.775,14.558333333333332,74.41666666666667,2,7,1,0,1,1,48,12,4,2023
20231203,18.064583333333335,20.122916666666665,11.75,63.958333333333336,3,1,1,0,1,2,49,12,4,2023
20231204,21.479166666666668,23.20625,9.791666666666666,52.208333333333336,4,2,0,0,1,2,49,12,4,2023
20231205,23.58125,26.320833333333336,8.766666666666667,36.375,5,3,0,0,1,2,49,12,4,2023
20231206,19.325,22.75,6.397916666666667,39.9375,6,4,0,0,1,2,49,12,4,2023
20231207,18.277083333333334,18.872916666666665,13.379166666666668,70.6875,7,5,0,0,1,2,49,12,4,2023
20231208,23.943749999999998,24.460416666666664,16.162499999999998,62.166666666666664,8,6,0,0,2,2,49,12,4,2023
20231209,22.14375,22.927083333333332,16.462500000000002,68.3125,9,7,1,0,2,2,49,12,4,2023
20231210,19.060416666666665,21.772916666666664,14.0875,64.27083333333333,10,1,1,0,2,3,50,12,4,2023
20231211,24.920833333333334,25.070833333333336,17.785416666666666,64.75,11,2,0,0,2,3,50,12,4,2023
20231212,28.568749999999998,28.4375,16.908333333333335,54.8125,12,3,0,0,2,3,50,12,4,2023
